school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10285)苏州大学,统考,(018)计算机科学与技术学院,(085412)(专业学位)网络与信息安全,全日制,(01)网络与信息安全,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
(10285)苏州大学,统考,(018)计算机科学与技术学院,(085410)(专业学位)人工智能,全日制,(01)人工智能,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
(10285)苏州大学,统考,(018)计算机科学与技术学院,(085405)(专业学位)软件工程,全日制,(01)软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
(10285)苏州大学,统考,(018)计算机科学与技术学院,(085404)(专业学位)计算机技术,全日制,(01)计算机技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(872)数据结构与操作系统
(10285)苏州大学,统考,(017)电子信息学院,(085402)(专业学位)通信工程（含宽带网络、移动通信等）,全日制,(01)通信工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(837)信号系统与数字逻辑
(10285)苏州大学,统考,(017)电子信息学院,(085403)(专业学位)集成电路工程,全日制,(01)集成电路工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(863)半导体物理基础与数字逻辑
(10285)苏州大学,统考,(017)电子信息学院,(085401)(专业学位)新一代电子信息技术（含量子技术等）,全日制,(01)新一代电子信息技术,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(837)信号系统与数字逻辑
(10289)江苏科技大学,统考,(017)海洋学院,(085400)(专业学位)电子信息,全日制,(01)新一代电子信息技术,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电路
(10289)江苏科技大学,统考,(017)海洋学院,(085400)(专业学位)电子信息,全日制,(02)通信工程,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电路
(10289)江苏科技大学,统考,(010)理学院,(085408)(专业学位)光电信息工程,全日制,(03)能源光电子学,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(857)光学
(10289)江苏科技大学,统考,(017)海洋学院,(085400)(专业学位)电子信息,全日制,(03)生物医学工程,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电路
(10289)江苏科技大学,统考,(010)理学院,(085408)(专业学位)光电信息工程,全日制,(01)半导体光电子学,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(857)光学
(10289)江苏科技大学,统考,(017)海洋学院,(085400)(专业学位)电子信息,非全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(811)电路
(10289)江苏科技大学,统考,(010)理学院,(085408)(专业学位)光电信息工程,全日制,(02)激光光电子学,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(857)光学
